"puesto","empresa","nivel","area","fecha","detalle","fecha_scraping"
"AUXILIAR CONTABLE","Importante empresa","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","IMPORTANTE EMPRESA IMPORTADORA SELECCIONA: para Trabajar En Montevideo, Uruguay en zona cercana a Colón Cargo: Auxiliar Contable Requisitos: Dinámico, o ...",2018-12-11 14:30:22
"MOZO MIXTO","Importante empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Empresa gastronómica se encuentra en la búsqueda de personal para el puesto de MOZO MIXTO,para su local ubicado en Punta Carretas y Buceo. Es imprescindibl ...",2018-12-11 14:30:22
"VENDEDOR VIAJERO","PALMITA S.A.","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Visitar nuestros clientes en el interior del pais, ofrecer nuestra amplia gama de productos importados y que distribuimos de otras importadoras. Vender, co ...",2018-12-11 14:30:22
"SYNGENTA: FINANCIAL ANALYST - SEEDS CUSTOMER MARKETING","ADVICE","Asistente","Administración - Secretariado","Hace 1 mes ","Syngenta is a world-leading agribusiness company committed to improve global food security. If you are interested in professional development, we have oppo ...",2018-12-11 14:30:22
"SYNGENTA: FINANCIAL ANALYSTS - PARTNER REWARDS","ADVICE","Asistente","Administración - Secretariado","Hace 1 mes ","Syngenta is a world-leading agribusiness company committed to improve global food security. If you are interested in professional development, we have oppo ...",2018-12-11 14:30:22
"SYNGENTA: FINANCIAL ANALYST - ROYALTIES","ADVICE","Asistente","Administración - Secretariado","Hace 1 mes ","Syngenta is a world-leading agribusiness company committed to improve global food security. If you are interested in professional development, we have oppo ...",2018-12-11 14:30:22
".VENDEDOR  - BARRACAS - FERRETERIAS - CONSTRUCTORAS - (NO EXCLUSIVO)","bolsamax","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","VENDEDOR NO EXCLUSIVO  Barracas - Ferreterias - Constructoras Montevideo y Ciudad de la Costa Potenciar la cartera de clientes de la empresa en rubro Barra ...",2018-12-11 14:30:22
"MOZA DE SALÓN","Parrillada Tintos y Rubias","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Atención al público, orden y limpieza del salón. Buena presencia, puntualidad, preparación del salón para el turno de trabajo, orden y limpieza del mismo,  ...",2018-12-11 14:30:22
"COCINERA","Importante Empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Autoservice necesita cocinera para sección Rotiseria con experiencia. Autoservice necesita cocinera para sección Rotisería con experiencia.",2018-12-11 14:30:22
"GESTOR DE COBRANZA PARA CALL CENTER","Importante empresa","Auxiliar","Teleoperadores - Call Center","Hace 1 mes ","Estamos en la búsqueda de personas con experiencia en cobranzas que sean dinámicas, orientadas a resultados y con buen nivel de comunicación para incorpora ...",2018-12-11 14:30:22
"PAYROLL OPERATIONS ANALYST","ADVICE","Analista","Administración - Secretariado","Hace 1 mes ","Syngenta is a world-leading agribusiness company committed to improve global food security. If you are interested in professional development in the financ ...",2018-12-11 14:30:22
"CAJERA/O","Gadager","Auxiliar","Ventas - Comercial","Hace 1 mes ","Cajero con experiencia turno vespertino para supermercado",2018-12-11 14:30:22
"CHOFER DE TAXI","SIN NOMBRE","Peon","Servicios - Oficios","Hace 1 mes ","CHOFER DE TAXI DE MONTEVIDEO. LIBRETA CAT E DE MONTEVIDEO VIGENTE.  TRABAJO DISPONIBLE EN EL TURNO DIURNO DE 3 A 15 HS Y DISPONIBLE EN EL TURNO NOCTURNO DE ...",2018-12-11 14:30:22
"PANADEROS, AYUDANTES","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Empresa gastronómica se encuentra en la búsqueda de MAESTRO Y AYUDANTE ADELANTADO para el àrea de Panadería. Sexo:Masculino Edad:21 a 45 años Deberá contar ...",2018-12-11 14:30:22
"CONFITEROS, AYUDANTES","Importante empresa","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Entre las funciones a realizar deberà controlar las operaciones de elaboración de productos de confitería, tortas y otras elaboraciones. Realizar el acabad ...",2018-12-11 14:30:22
"OFICIAL SANITARIO","","Técnico / Especialista","Construcción - Arquitectura","Hace 1 mes ","Desarrollará tareas de instalaciones sanitarias y mantenimiento de redes de abastecimiento y desagüe. Instalación de abastecimiento y desagüe de baños y co ...",2018-12-11 14:30:22
"CHOFER PARA TAXI","TAXI 1600","Peon","Servicios - Oficios","Hace 1 mes ","Chofer de taxi Chofer de taxi",2018-12-11 14:30:22
"TÉCNICO EN PORTERO ELÉCTRICO","ilaut","Técnico / Especialista","Producción","Hace 1 mes ","BUSCAMOS IDÓNEO AYUDANTE TÉCNICO EN PORTEROS ELÉCTRICOS PARA INSTALACIONES PUNTUALES CON EXPERIENCIA PROBADA EN EL MEDIO , EXCELENTE REMUNERACIÓN Y MUY BUE ...",2018-12-11 14:30:22
"ASISTENTE DE IMPRESIÓN DIGITAL Y ATENCIÓN AL CLIENTE","  ","Asistente","Administración - Secretariado","Hace 1 mes ","- Recepcionar pedidos de clientes; - Brindar asesoramiento a clientes; - Realizar trabajos de diseño e impresión. La persona será responsable de otorgar un ...",2018-12-11 14:30:22
"CHOFER","Importante empresa","Peon","Servicios - Oficios","Hace 1 mes ","Traslado de personal Traslado depersonal",2018-12-11 14:30:22
"INTEGRADOR","INTERFAX LTDA","Técnico / Especialista","Tecnologías de la información","Hace 1 mes ","Asistencia y soporte técnico en instalaciones existentes. Asistencia técnica en montaje y puesta en funcionamiento de nuevas instalaciones. Sistemas análog ...",2018-12-11 14:30:22
"CHOFER","TRANSHOTEL","Medio Oficial","Producción","Hace 1 mes ","Chófer Profesional con experiencia comprobable,trabajo con contrato a termino por 30 días aproximadamente enviar curriculum  con foto. Montevideano/Punta d ...",2018-12-11 14:30:22
"DISEÑADOR - PROGRAMADOR WEB","Importante empresa","Asistente","Tecnologías de la información","Hace 1 mes ","Actualización de página web Manejo de PHP excluyente Freelance -",2018-12-11 14:30:22
"ANALISTA SEO","Importante empresa","Analista","Tecnologías de la información","Hace 1 mes ","Actividades centrales: •	Keyword Research SEO. •	Creación de informes SEO de demanda. •	Crear presentaciones de resultados y posicionamiento. Experiencia  ...",2018-12-11 14:30:22
"VENDEDOR/A MINIMERCADO DE 18HS A 00HS","","Auxiliar","Atención al cliente","Hace 1 mes ","Miércoles a Sábados de 18 a 00hs  Domingo de 9 a 15hs Días Libres: Lunes y Martes Tareas: Atención al público, reposición de mercadería y orden del local  ...",2018-12-11 14:30:22
"PEONES, 1/2 OFICIAL Y OFICIALES","Importante empresa","Técnico / Especialista","Construcción - Arquitectura","Hace 1 mes ","Se solicita peones,  1/2 oficial y oficiales electricista para obras en Montevideo. Realización de su tarea de acuerdo al cargo que ocupa",2018-12-11 14:30:22
"TELEFONISTA CON EXPERIENCIA.","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","Telefonista. Telefonista.",2018-12-11 14:30:22
"DOCENTE DE DERECHO","Importante empresa","Profesional","Legal","Hace 1 mes ","Centro de Capacitación PIRÁMIDE selecciona: Abogado con formación específica en las áreas de Derecho Penal, Derecho Constitucional y Derecho Procesal Pena ...",2018-12-11 14:30:22
"ELECTRICISTAS Y AYUDANTES CON CONOCIMIENTOS EN ELECTRICIDAD","--------------------","Técnico / Especialista","Construcción - Arquitectura","Hace 1 mes ","- Electricistas: * Poseer conocimientos básicos de electricidad - Ayudantes: * Brindar apoyo en las tareas del electricista Trabajo a realizar en Montevid ...",2018-12-11 14:30:22
"MÉDICO DE RADIO (A DOMICILIO)","Insignis Medical Group SRL","Profesional","Salud","Hace 1 mes ","Empresa de servicios médicos solicita: Médico para llamados de radio a domicilio de 8 a 20 hs. en Montevideo. Vehículo excluyente. Las inherentes a la func ...",2018-12-11 14:30:22
"VENDEDOR DE SERVICIOS PARA MONTEVIDEO","UPA.MOTOS auxilio","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","UPA.MOTOS necesita vendedor de plaza con experiencia comprobada en venta de servicios. Mayor de 25 años. Sexo masculino. Buena presencia. Se valorará que c ...",2018-12-11 14:30:22
"MECÁNICO DE MOTOS PARA LA CIUDAD DE LAS PIEDRAS","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upa.motos está buscando ampliar sus servicios de auxilio para motos en la ciudad de LAS PIEDRAS  y zonas cercanas,  para lo que busca mecánicos preferentem ...",2018-12-11 14:30:22
"LÍDER DE TESTING","Importante empresa","Supervisor / Encargado","Tecnologías de la información","Hace 1 mes ","Será responsable de liderar el área de testing de la empresa, conformada por más de 30 personas que trabajan para diferentes proyectos a nivel nacional e i ...",2018-12-11 14:30:22
"MOZO/A CON EXPERIENCIA","La Cocina de Pedro","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Proactivo, buen relacionamiento laboral. Buena prescencia.",2018-12-11 14:30:22
"VENDEDOR","EMPRESA","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","- VENTAS DE ALIMENTOS PARA MASCOTAS DENTRO Y FUERA DE MONTEVIDEO -APERTURA DE NUEVOS PUNTOS DE VENTA -REPORTES SEMANALES / MENSUALES SOBRE VENTAS GENERADAS ...",2018-12-11 14:30:22
"VENTAS - REPOSICIÓN -","Los Dominguez","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Ventas, Reposición Ventas, reposición de mercadería, control de stock, control de vencimientos",2018-12-11 14:30:22
"CONTADOR PARA EL DEPARTAMENTO DE SALTO","ADVICE","Profesional","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Elaborará e interpretará los estados financieros y anexos mensuales requeridos por el Grupo, identificando las situaciones que puedan afectar la razonabili ...",2018-12-11 14:30:22
"VENTAS Y ATENCION AL CLIENTE","EmprendeUY","Auxiliar","Atención al cliente","Hace 1 mes ","INGRESO EXTRAS PART-TIME o FULL-TIME, eso lo decides tu(NO ES EMPLEO) HOMBRES Y MUJERES MAYORES DE 21 AÑOS, MONTEVIDEO e INTERIOR. No es necesario experien ...",2018-12-11 14:30:22
"TÉCNICO EN SISTEMA DE PORTERO ELECTRICO.","LEMAG","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","TÉCNICO DE SISTEMA DE PORTERO ELÉCTRICO. TÉCNICO DE SISTEMA DE PORTERO ELÉCTRICO, PARA MANTENIMIENTO Y REPARACIÓN.",2018-12-11 14:30:22
"VENDEDOR PARA LAS PIEDRAS- CANELONES.","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Vendedor para Las Piedras de Lunes a Viernes de 9:00 a 18:00 horas. Vendedor para Las Piedras de Lunes a Viernes de 9:00 a 18:00 horas.",2018-12-11 14:30:22
"ASESOR","Vida Saludable con L´Ara","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Busco personas para trabajar en forma independiente. Capacitaciones permanentes- Buenos ingresos. Asesorar al cliente, y mantenerlos informados.",2018-12-11 14:30:22
"CHOFER DE TAXI NOCHERO","Taxi","Peon","Servicios - Oficios","Hace 1 mes ","chofer  de taxi nochero con experiencia  chofer  de taxi nochero con experiencia  ",2018-12-11 14:30:22
"VENDEDOR MOSTRADOR","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta de repuestos para autos a distribuidores y cliente final. Atención telefónica y al mostrador de clientes para venta directa y al por mayor de repuest ...",2018-12-11 14:30:22
"CUIDADORA Y LIMPIADORA TURNANTE","Hogar en buceo","Auxiliar","Salud","Hace 1 mes ","Trabajo como turnante en residencial cubriendo 2 tardes, 2 mañanas y 1 noche Cuidado, higiene y confort de los pacientes a cargo, al igual que manter la li ...",2018-12-11 14:30:22
"CUIDADORA PARA RESIDENCIAL DE ADULTOS MAYORES","Importante empresa","Auxiliar","Salud","Hace 1 mes ","Cuidado del Adulto Mayor Confort Higiene Mantener en excelentes condiciones a los residentes, colaborar con la higiene de la habitación y residencia. Apoyo ...",2018-12-11 14:30:22
"RECEPCIONISTA","Importante Clínica Médica","Auxiliar","Administración - Secretariado","Hace 1 mes ","Tareas de recepción  Coordinación de citas Atención al público con amabilidad y discreción",2018-12-11 14:30:22
"ATENCIÓN AL PÚBLICO Y TAREAS VARIAS","Importante empresa de quesos","Auxiliar","Servicios - Oficios","Hace 1 mes ","Atención al público persona simpática y con buenos modales. También tareas varias dentro del local. Fiambreria. Mantener buen trato con el público.",2018-12-11 14:30:22
"ATENCIÓN DE ADULTO MAYOR","MARTA","Auxiliar","Salud","Hace 1 mes ","ATENCIÓN DE ADULTO MAYOR EN DOMICILIO SÓLO LOS DÍAS DOMINGOS 6 HORAS Acondicionarlo, bañarlo, darle de comer y acompañarlo Atender las necesidades de la pe ...",2018-12-11 14:30:22
"ELECTRICISTA MANTENIMINETO","","Técnico / Especialista","Construcción - Arquitectura","Hace 1 mes ","Mantenimineto industrial y comercial ,  responsabilidad en los materiales a utilizar. Mantenimineto industrial y comercial , buen trato con clientes , resp ...",2018-12-11 14:30:22
"REPARTIDOR MONTEVIDEO EN CAMIONETA DE LA EMPRESA","Importante empresa","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Entrega de mercaderia en comercios y particulares Cobro de facturas Retiro de mercaderia de empresas proveedoras Tareas de deposito, carga y descarga de me ...",2018-12-11 14:30:22
"AUXILIAR DE LIMPIEZA","Piscinas","Auxiliar","Servicios - Oficios","Hace 1 mes ","Empresa selecciona personal masculino, entre 20 y 40 años de edad. Responsable de la limpieza y cuidados de las piscinas.",2018-12-11 14:30:22
"EJECUTIVO DE CUENTAS","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Incrementar ventas. Conducción y formación comercial. Capacidad de aprender y enseñar. Disciplina de trabajo.",2018-12-11 14:30:22
"JEFE DE SUPPLY CHAIN","ADVICE","Supervisor / Encargado","Producción","Hace 1 mes ","Será el responsable de la planificación del abastecimiento de mercadería a las diferentes filiales del grupo en la región. Realizará compras en tiempo y fo ...",2018-12-11 14:30:22
"CAJERO Y RECEPCION DE PEDIDOS","delivery de pizza en punta gorda","Auxiliar","Atención al cliente","Hace 1 mes ","son 2 puestos que se buscan . nocturnos y fines de semana  MOSTRADOR : recepción de pedidos mostrador y teléfono. manejo de dinero y tarjetas. control de  ...",2018-12-11 14:30:22
"GUARDIA DE SEGURIDAD","SABROSO","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Buscamos guardia de seguridad para trabajar en un maxi kiosco en barrio cordón. Contar con disponibilidad inmediata. Trabajará 15 hs semanales : jueves, vi ...",2018-12-11 14:30:22
"DELIVERY CON MOTO","Delivery Expedito","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Se necesita urgente DELIVERY C/MOTO para importante heladería en sucursal pocitos. Imprescindible tener conocimientos zonas pocitos punta carretas Malvin y ...",2018-12-11 14:30:22
"AUXILIAR DE DEPÓSITO PARA LAS PIEDRAS","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 mes ","Funciones - Soporte en la carga y descarga de mercadería. - Armado de pedidos para futura distribución. -  Movimiento de mercadería para configuración de a ...",2018-12-11 14:30:22
"CHOFER DE TAXI DE MONTEVIDEO","Importante empresa","Peon","Servicios - Oficios","Hace 1 mes ","CHOFER DE TAXI DE MONTEVIDEO. LIBRETA CAT E. HORARIO DIURNO DE 3 A 15 HS Y NOCTURNO DE 15 A 3 HS. CON RELEVO PUERTA A PUERTA. CHOFER DE TAXI DE MONTEVIDEO. ...",2018-12-11 14:30:22
"CERRAJERO  ASOCIADO PARA EMERGENCIAS","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Se incorpora en relación de contrato de servicios a cerrajero independiente con sólidos conocimientos de cerrajería automotriz para atender urgencias. Debe ...",2018-12-11 14:30:22
"VENDEDOR REPONEDOR","Frutas y Frutos","Auxiliar","Servicios - Oficios","Hace 1 mes ","Necesito persona mayor de 18 para atencion al publico reponer mercaderia y hacer envios Tiene que ser responsable con los horarios, amable von el publico y ...",2018-12-11 14:30:22
"MANICURISTA","peluqueria","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Manicura, estetica de pie, depilacion, brushing. zona Punta Carretas. Todas las relacionadas con el trabajo",2018-12-11 14:30:22
"ASISTENTE DE RECURSOS HUMANOS","Confidencial","Asistente","Administración - Secretariado","Hace 1 mes ","La búsqueda está dirigida a estudiantes avanzados o egresados de las carreras Recursos Humanos, Relaciones Laborales, Administración de Empresas, etc., con ...",2018-12-11 14:30:22
"OFICIAL","TEREFEL SA","Oficial","Producción","Hace 1 mes ","faena y desosado puntualidad, asiduidad y responsabilidad en el desempeño de las tareas",2018-12-11 14:30:22
"CHOFER AEROPUERTO","Importante empresa","Peon","Servicios - Oficios","Hace 1 mes ","Chofer con muy buena presencia, buen trato con el publico, libreta de Canelones categoria E y experiencia de manejo. ..",2018-12-11 14:30:22
"CHOFER REPARTIDOR","Empresa importadora","Peon","Servicios - Oficios","Hace 1 mes ","Chofer repartidor. Preparación de pedidos, carga, descarga, cobranzas. Mantenimiento de buen estado de vehículos utilizados. Mantenimiento de orden en depo ...",2018-12-11 14:30:22
"ENCARGADA DE TIENDA - MERCEDES SORIANO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión y conducción de equipos de trabajo.  Será responsable de la planificación,  ...",2018-12-11 14:30:22
"ENCARGADO/A DE TIENDA-MONTEVIDEO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión y conducción de equipos de trabajo.  Será responsable de la planificación,  ...",2018-12-11 14:30:22
"ENCARGADO/A DE TIENDA-MALDONADO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión y conducción de equipos de trabajo.  Será responsable de la planificación,  ...",2018-12-11 14:30:22
"PIZZERO CON EXPERIENCIA","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Pizzero con conocimiento en Pizza a la piedra, elaboración de maza, uso de pala, horno a gas y leña, realización de Misse an Place, repulgue de empanadas y ...",2018-12-11 14:30:22
"CHOFER PARA UBER","Importante empresa","Peon","Servicios - Oficios","Hace 1 mes ","Busco chofer para manejar auto de Uber, con experiencia en manejo y buena prescencia. SE REQUIERE LIBRETA PROFESIONAL CATEGORIA E. HORARIO NOCTURNO. con ex ...",2018-12-11 14:30:22
"ANALISTA EN MARKETING DIGITAL","Importante empresa","Analista","Arte - Diseño - Comunicación","Hace 1 mes ","Nos orientamos a personas de entre 20 y 28 añox aprox egresados de algunas de las siguientes carreras. Analista en Marketing Digital, Planificador de Medio ...",2018-12-11 14:30:22
"CAJERA","Importante empresa","Auxiliar","Ventas - Comercial","Hace 1 mes ","Cajera proactiva, se valorará  conocimientos gastronómicos. Buen relacionamiento laboral.",2018-12-11 14:30:22
"AYUDANTE DE ARQUITECTO O ARQUITECTO JUNIOR","ESTUDIO COLLETLACOSTE","Asistente","Construcción - Arquitectura","Hace 1 mes ","SOBRESTANTE DE OBRA, ELABORACIÓN DE PRESUPUESTOS,PEDIDO DE PRECIOS, COMPRA DE MATERIALES, DIBUJO CAD SERÁ RESPONSABLE DE ELABORAR PRESUPUESTOS, METRAR PROY ...",2018-12-11 14:30:22
"SYNGENTA: STATUTORY & TAX OPERATIONS ANALYST","ADVICE","Analista","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Requirements: Public Accountant (CPA). Al least 3 years of relevant experience in multinationals or big four companies in Tax, Accounting, Finance or Audit ...",2018-12-11 14:30:22
"ADMINISTRATIVO CALIFICADO","Empresa logística","Auxiliar","Administración - Secretariado","Hace 1 mes ","Nos orientamos a la búsqueda de una administrativa calificada, proactiva y con motivación a afrontar tareas varias, con experiencia comprobada en liquidaci ...",2018-12-11 14:30:22
"SYNGENTA: ACOUNTING TO REPORTING ANALYSTS","ADVICE","Analista","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Requirements: Public Accountants (CPA) or Degree in Business Administration advanced students. At least 2 years of experience in similar positions at Accou ...",2018-12-11 14:30:22
"OPERARIO DE MANTENIMIENTO","Importante Empresa","Supervisor / Encargado","Producción","Hace 1 mes ","Mantenimiento y Reparaciones  Generales   para local en zona de Mercado Modelo y Quinta en Zona de Punta Espinillo  Requisitos fundamentales y Excluyentes  ...",2018-12-11 14:30:22
"INSTRUCTOR DE MOTO","Importante empresa","Técnico / Especialista","Educación - Recreación - Deportes","Hace 1 mes ","1 - Tener UNIPERSONAL ABIERTA para trabajar en Academia de Choferes en Montevideo, ya que el trabajo es tercerizado (si no tiene se solicitará como condici ...",2018-12-11 14:30:22
"TECNICO","INSTALAR  S.R.L.","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","TECNICO  INSTALADOR  SATELITAL Con experiencia  En instalaciones  Para trabajos en Cable de UHF. y satelital  Si tiene conocimientos de instalaciones   ...",2018-12-11 14:30:22
"AYUDANTE PASTERO","Empanadas Don Pedro","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Ayudante pastero, horario de la mañana de martes a Domingo zona Ciudad de la costa. Con experiencia en el rubro fabrica de pastas o panaderia Responsable,  ...",2018-12-11 14:30:22
"CHEFF - COCINERO - ENCARGADO DE COCINA - ROTISERIA","IMPORTANTE ROTISERIA GOURMET/CAFETERIA/DULCERIA","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Persona responsable, proactiva, detallista, puntual, ágil y dinámica, con vocación por la cocina y dedicación hacia su trabajo. Capacidad para el diseño y  ...",2018-12-11 14:30:22
"LICENCIADO EN TRABAJO SOCIAL - RECIÉN RECIBIDO (DURAZNO, COLONIA, MALDONADO, CANELONES Y RIVERA)","CONEBAN","Asistente","Trabajo Social – Pasantías","Hace 1 mes ","Nos encontramos en la búsqueda de Licenciados en Trabajo Social para desempeñarse en proyecto de inclusión social en las localidades de: DURAZNO, COLONIA,  ...",2018-12-11 14:30:22
"MOZO DE BARRA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","SE NECESITA MOZO DE BARRA CON GRAN EXPERIENCIA. PARA RESTAURANTE EN EL CENTRO . PRESENTARSE CON CURRICULUM EN SAN JOSE 1229 ENTRE YI Y CUAREIM TRAER CURRIC ...",2018-12-11 14:30:22
"MUCAMA DE HOTEL","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Hotel de cadena Internacional de 3 estrellas, solicita mucama /o para el turno tarde de 13hs a 21hs. Misión •	Ordenar y limpiar las habitaciones, pasillos, ...",2018-12-11 14:30:22
"ODONTOLOGO/A","Consultorio Odontológico","Profesional","Salud","Hace 1 mes ","Atención Ontológica pacientes , odontología en general. Ortodoncia. Ortopedia Necesitamos Odontologos/as para los Lunes y Martes en Pando y de Miércoles a  ...",2018-12-11 14:30:22
"ENCARGADO DE LOCAL","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Empresa en crecimiento del rubro Bazar busca Encargado de Local. Tareas: *Deberá coordinar un equipo de alrededor de 15 personas *Realizar pedidos de merc ...",2018-12-11 14:30:22
