"puesto","empresa","nivel","area","fecha","detalle","fecha_scraping"
"OPERARIO PRÁCTICO ELEVADORISTA PARA SUPLENCIA","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 mes ","EN LA CIUDAD DE ROCHA - DEPARTAMENTO DE ROCHA. - Acondicionamiento y empaque de materiales. - Carga, descarga y acarreo de mercancías y materiales varios,  ...",2018-12-11 14:30:22
"MOZOS/AS, COCINEROS/AS, BARMAN Y BACHEROS","Ramona","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Ramona busca personal capacitado, con conocimiento y  buena actitud. Entregar curriculum en Ramona Pocitos Luis de la torre 701 Trabajo en equipo.",2018-12-11 14:30:22
"AUXILIAR EN VENTAS","","Auxiliar","Atención al cliente","Hace 1 mes ","Mayor de 25 años, excluyente, sexo masculino, flexibilidad horaria. Se desempeñará en todo lo inherente a la atención al público, armado o desarmado de vit ...",2018-12-11 14:30:22
"INGENIERO VIAL","AYC CONSTRUCTORA","Profesional","Construcción - Arquitectura","Hace 1 mes ","INGENIERO VIAL Experiancia comprobable de minimo 5 años en el rubro. Full Time - Posibilidad de viajar a todo el pais.",2018-12-11 14:30:22
"VENTAS-CARNICERIA","","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Cortador para Carnicería Inherentes al cargo",2018-12-11 14:30:22
"PERSONAS","Susanne","Otros","Llamados - Concursos","Hace 1 mes ","Entiendes de negocios? Te identificas con las ventas? Manejas redes sociales? Puedes invertir tiempo y dinero? Compartes con la familia y los amigos?  Pers ...",2018-12-11 14:30:22
"PERSONAS","Importante empresa","Otros","Llamados - Concursos","Hace 1 mes ","Sabías que puedes ganar hasta U$D2000 en 6 semanas vendiendo páginas web autogestionables?  Disponer de tiempo y dicción impecable.",2018-12-11 14:30:22
"CORTADOR AYUDANTE DE PIZZERIA CON CONOCIMIENTO DE ELABORACION EN HORNO A LEÑA","la barra","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","cortador de pizzeria  ,  pizzero auxiliar para viernes y sabados cortador pizzeria ,o pizzero auxiliar",2018-12-11 14:30:22
"AUXILIAR DE DEPOSITO","Abiler","Auxiliar","Logística - Distribución","Hace 1 mes ","Carga y descarga de mercadería, reposición de mercadería a sucursales, orden y limpieza de depósito Lunes a sábados, 44 horas semanales, 20 a 25 años, cicl ...",2018-12-11 14:30:22
"MECÁNICO DE MOTOS PARA LA CIUDAD DE PANDO","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upamotos está buscando ampliar sus servicios de auxilio en la Ciudad de Pando y aledaños, para lo que busca mecánicos preferentemente con taller de motos p ...",2018-12-11 14:30:22
"MECÁNICO DE MOTOS PARA CIUDAD DEL PLATA","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upamotos está buscando ampliar sus servicios de auxilio en CIUDAD DEL PLATA, para lo que busca mecánicos preferentemente con taller de motos propio, con de ...",2018-12-11 14:30:22
"MECÁNICO DE MOTOS PARA ATLANTIDA.","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upamotos está buscando ampliar sus servicios de auxilio en la ciudad de Atlántida y aledaños,  para lo que busca mecánicos preferentemente con taller de mo ...",2018-12-11 14:30:22
"MECÁNICO DE MOTOS PARA MALDONADO","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upamotos está buscando ampliar sus servicios de auxilio en Maldonado para lo que busca mecánicos preferentemente con taller de motos propio, con  deseos de ...",2018-12-11 14:30:22
"VOLANTERO/AS","UPA.MOTOS auxilio","Auxiliar","Ventas - Comercial","Hace 1 mes ","Entregar volantes en puntos fijos predeterminados. Cuatro horas diarias. Chicas y chicos entre 18 y 22 años. Se valorará experiencia y buena presencia. Cic ...",2018-12-11 14:30:22
"DONEA PARA FARMACIA HOMEOPÁTICA","Importante empresa","Técnico / Especialista","Salud","Hace 1 mes ","Atención al publico, tareas administrativas, manejo de caja, mantener orden y limpieza del local. Puntualidad, responsabilidad, compañerismo, honestidad y  ...",2018-12-11 14:30:22
"ENCUESTADOR EN VÍA PUBLICA","Importante empresa","Auxiliar","Marketing - Publicidad","Hace 1 mes ","Realizar encuestas en vía publica para una importante empresa educativa. Realizar encuestas.",2018-12-11 14:30:22
"SANDWICHERA(O)","Importante empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Empresa gastronómica,selecciona SANDWICHEROS,con experiencia 2 años en el puesto (comprobada) en CAFETERÌAS O RESTAURANTES (EXCLUYENTE) Edad 28 a 45 años S ...",2018-12-11 14:30:22
