"puesto","empresa","nivel","area","fecha","detalle","link","departamento","fecha_scraping"
"DISTRIBUIDOR VENDEDOR","Blanca fuentes","Auxiliar","Logística - Distribución","Hace 5 días ","Ventas y Distribuciòn. Productos de buena rotaciòn y de.consumo masivo. Mayor de 18 años.  Buena presencia. Deseos de superaciòn. Hàbito de trabajo.","https://trabajo.gallito.com.uy/anuncio/distribuidor-vendedor-h2s5m","canelones",2019-11-01 16:20:32
"OPERARIO/A PARA COSECHA- CON/SIN EXPERIENCIA SAN JACINTO","Kairos Servicios","Peon","Servicios - Oficios","Hace 1 semana ","Kairos se encuentra en la búsqueda de operarios/as para el área de cosecha, se valora experiencia (no es excluyente). La persona deberá contar con responsa ...","https://trabajo.gallito.com.uy/anuncio/operario-a-para-cosecha-con-sin-experiencia-san-jacinto-5n2dm","canelones",2019-11-01 16:20:32
"AYUDANTE DE PANADERO","SUPERMERCADO IMPERIO DEL ESTE EN PINAMAR","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Armado de pan,bizcochos y toda la mercadería que elabore el maestro panadero.
Mantener limpieza del local y los utensillos de trabajo. Personal todas las á ...","https://trabajo.gallito.com.uy/anuncio/ayudante-de-panadero-6mea2","canelones",2019-11-01 16:20:32
"AUXILIAR CONTABLE","","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 3 semanas ","Requisitos:

•	Estudiante avanzado de Ciencias Económicas o egresados de EDA
•	Radicado en Las Piedras o cercanía. 
•	Buena escolaridad
•	Proactivo, Ordena ...","https://trabajo.gallito.com.uy/anuncio/auxiliar-contable-yjus2","canelones",2019-11-01 16:20:32
"LAVADOR DE COCHES","","Auxiliar","Servicios - Oficios","Hace 3 semanas ","Lavado completo, aspirado completo, limpieza total del vehiculo.
Fundamental y excluyente tener libreta de conducir. Es una rentadora de coche por lo tanto ...","https://trabajo.gallito.com.uy/anuncio/lavador-de-coches-pu736","canelones",2019-11-01 16:20:32
"DELIVERY CON MOTO PARA LAS PIEDRAS","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas ","Para el horario de la noche, de 19 a 24. Conozca la zona, buena presencia, responsable y con ganas de trabajar. Se necesita Delivery con MOTO para reparto  ...","https://trabajo.gallito.com.uy/anuncio/delivery-con-moto-para-las-piedras-pmvmg","canelones",2019-11-01 16:20:32
"COCINERA Y ATENCION AL PUBLICO PARA ROTISERIA Y PANADERIA PINAMAR","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Elaboración de menú.
Atención al público. Limpieza del sector.
Reposición.","https://trabajo.gallito.com.uy/anuncio/cocinera-y-atencion-al-publico-para-rotiseria-y-panaderia-pinamar-4yzsm","canelones",2019-11-01 16:20:32
"REPOSICIÓN Y TAREAS DE DEPÓSITO EN SUPERMERCADO (ZONA PINAMAR)","","Auxiliar","Ventas - Comercial","Hace 3 semanas ","Solamente se tomará en cuenta currículum con experiencia comprobable en supermercado. + Reposición del salón
+ Tareas de depósito, carga, descarga, etc. ...","https://trabajo.gallito.com.uy/anuncio/reposicion-y-tareas-de-deposito-en-supermercado-zona-pinamar-2gygn","canelones",2019-11-01 16:20:32
"VENDEDOR","Guia para tu salud","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Ventas directa al publico 
Seguimiento a la cartelera de clientes 
Manejo de redes sociales 
Postura de negocios Persona productiva,disciplinado,
responsab ...","https://trabajo.gallito.com.uy/anuncio/vendedor-sn632","canelones",2019-11-01 16:20:32
"DE SISTEMAS DE SEGURIDAD (ALARMA, CÁMARAS DE VIDEO VIGILANCIA E INCENDIO","Importante empresa","Oficial","Servicios - Oficios","Hace 3 semanas ","Empresa en Ciudad de la Costa solicita:

1)TÉCNICO DE SEGUNDA:

- Instalador de sistemas de alarma, cámaras de video vigilancia e incendio.
- Experiencia c ...","https://trabajo.gallito.com.uy/anuncio/de-sistemas-de-seguridad-alarma-camaras-de-video-vigilancia-e-incendio-qy7q8","canelones",2019-11-01 16:20:32
