"puesto","empresa","nivel","area","fecha","detalle","link","departamento","fecha_scraping"
"AYUDANTE DE COCINA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Ayudante de Cocina p/Escuelas Públicas en Punta del Este.","https://trabajo.gallito.com.uy/anuncio/ayudante-de-cocina-2j6en","montevideo",2019-11-10 20:09:42
"COCINERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Cocinero p/Escuelas Públicas en Punta del Este","https://trabajo.gallito.com.uy/anuncio/cocinero-7ag6p","montevideo",2019-11-10 20:09:42
"PIZZERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia

Edad de 20 a 35 años

","https://trabajo.gallito.com.uy/anuncio/pizzero-j2v99","montevideo",2019-11-10 20:09:42
"CORTADOR","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," CORTADOR para carnicería con experiencia y libreta de moto,","https://trabajo.gallito.com.uy/anuncio/cortador-b9qqy","montevideo",2019-11-10 20:09:42
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," CHOFER para Taxi, nocturno efectivo, experiencia y ref., Relevo puerta a puerta","https://trabajo.gallito.com.uy/anuncio/chofer-8z9en","montevideo",2019-11-10 20:09:42
"AYUDANTE DE COCINA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," CAJERO ayudante de cocina ambos sexos,

 para importante restaurante  céntrico para turno de la noche","https://trabajo.gallito.com.uy/anuncio/ayudante-de-cocina-d95pn","montevideo",2019-11-10 20:09:42
"MÉDICO ESPECIALISTA EN SALUD OCUPACIONAL","Enfermería a Domicilio NR","Profesional","Salud","Hace 3 semanas ","Evaluar riesgos y exigencias laborales de los procesos productivos. Relacionar los riesgos y/o exigencias laborales con los proceso mórbidos. Relacionar la ...","https://trabajo.gallito.com.uy/anuncio/medico-especialista-en-salud-ocupacional-v6799","montevideo",2019-11-10 20:09:42
"TÉCNICO PREVENSIONISTA","Enfermería a Domicilio NR","Técnico / Especialista","Recursos Humanos","Hace 3 semanas ","Asesoramiento de la Seguridad, Higiene y salud Laboral. Gestión de la prevención de Riesgos laborales. Técnico prevencionista con matrícula en el MTSS. Eva ...","https://trabajo.gallito.com.uy/anuncio/tecnico-prevensionista-ym2tm","montevideo",2019-11-10 20:09:42
"PIZZERO/ CORTADOR","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia","https://trabajo.gallito.com.uy/anuncio/pizzero-cortador-hu9dt","montevideo",2019-11-10 20:09:42
"MARKETING Y PUBLICIDAD","","Auxiliar","Tecnologías de la información","Hace 3 semanas "," Emprendedores","https://trabajo.gallito.com.uy/anuncio/marketing-y-publicidad-6a9b5","montevideo",2019-11-10 20:09:42
"LIMPIADORA","","Peon","Producción","Hace 3 semanas "," Para pizzería

Con experiencia","https://trabajo.gallito.com.uy/anuncio/limpiadora-q26y7","montevideo",2019-11-10 20:09:42
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Chofer para distribuidora en Montevideo con experiencia en distribución en comercios minoristas.","https://trabajo.gallito.com.uy/anuncio/chofer-p8t4e","montevideo",2019-11-10 20:09:42
"COCINERO/REPOSTERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","LIMPIEZA, PRODUCCIÓN, ELABORACIÓN. PUNTUALIDAD, HIGIENE, TRABAJO EN EQUIPO, ELABORACIÓN, CONTROL DE STOCK, ETC.","https://trabajo.gallito.com.uy/anuncio/cocinero-repostero-3uey6","montevideo",2019-11-10 20:09:42
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," CHOFER para Taxi, con experiencia, ambos turnos. Excelente ambiente","https://trabajo.gallito.com.uy/anuncio/chofer-qd8vp","montevideo",2019-11-10 20:09:42
"COLORISTA","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," Sepa mehcas, claritos papel, gorra, balayage, brushing y manos

Para salón en Pocitos.","https://trabajo.gallito.com.uy/anuncio/colorista-2vnq9","montevideo",2019-11-10 20:09:42
"APRENDIZ COCINA Y TAREAS VARIAS FEMENINO QUE VIVA CERCA MAM","Importante empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","LEER TODO POR FAVOR 
Funciones:
<U+F0FC> Realizar el armado de las ordenes de pedidos.
<U+F0FC> Entrega de los pedidos a los clientes.
<U+F0FC> Colaboración en el sector de la  ...","https://trabajo.gallito.com.uy/anuncio/aprendiz-cocina-y-tareas-varias-femenino-que-viva-cerca-mam-db25p","montevideo",2019-11-10 20:09:42
