"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"Encargada/o de tienda para Shopping","www.buscojobs.com.uy/encargadao-de-tienda-para-shopping-ID-164096",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31,"lunes"
"Steward - horario cortado","www.buscojobs.com.uy/steward-horario-cortado-ID-164095",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31,"lunes"
"Asistente de Instrumentación-Calidad de agua","www.buscojobs.com.uy/asistente-de-instrumentacion-calidad-de-agua-ID-164093",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31,"lunes"
"Administración e importaciones","www.buscojobs.com.uy/administracion-e-importaciones-ID-164092",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31,"lunes"
"Product Support Manager ($100K/year)  - Remote Work","www.buscojobs.com.uy/product-support-manager-100kyear-remote-work-ID-164090",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-30,"domingo"
"Mucama y tareas adicionales","www.buscojobs.com.uy/mucama-y-tareas-adicionales-ID-164089",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-30,"domingo"
"CONTADOR para IMPUESTOS","www.buscojobs.com.uy/contador-para-impuestos-ID-163926",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Guardia de Seguridad","www.buscojobs.com.uy/guardia-de-seguridad-ID-164037",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Auxiliar de Servicio","www.buscojobs.com.uy/auxiliar-de-servicio-ID-164035",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Encargado de local comercial","www.buscojobs.com.uy/encargado-de-local-comercial-ID-164087",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Vendedor - con experiencia en insumos automotrices","www.buscojobs.com.uy/vendedor-con-experiencia-en-insumos-automotrices-ID-164073",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Vendedor telefónico","www.buscojobs.com.uy/vendedor-telefonico-ID-164069",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Asistente Técnico - Ciudad de la Costa","www.buscojobs.com.uy/asistente-tecnico-ciudad-de-la-costa-ID-164072",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Operario de planta  - Canalones, Santa Lucia","www.buscojobs.com.uy/operario-de-planta-canalones-santa-lucia-ID-164070",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"ATENCIÓN TELEFÓNICA DE CLIENTES","www.buscojobs.com.uy/atencion-telefonica-de-clientes-ID-164068",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Encargada de Sucursal","www.buscojobs.com.uy/encargada-de-sucursal-ID-164059",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Facer o captador de donantes en vía pública","www.buscojobs.com.uy/facer-o-captador-de-donantes-en-via-publica-ID-164064",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Elevadorista por Suplencia","www.buscojobs.com.uy/elevadorista-por-suplencia-ID-164062",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Cadete con Libreta","www.buscojobs.com.uy/cadete-con-libreta-ID-164060",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Docentes en construcción, sanitaria y electricidad - Tacuarembó","www.buscojobs.com.uy/docentes-en-construccion-sanitaria-y-electricidad-tacuarembo-ID-164057",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Asesor Comercial en Ventas (Vendedor Técnico)","www.buscojobs.com.uy/asesor-comercial-en-ventas-vendedor-tecnico-ID-164038",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Ingeniero para Operación del Sistema de Tasación On-Line","www.buscojobs.com.uy/ingeniero-para-operacion-del-sistema-de-tasacion-on-line-ID-164053",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Ayudante de cocina","www.buscojobs.com.uy/ayudante-de-cocina-ID-164052",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Oficial de telecomuncaciones","www.buscojobs.com.uy/oficial-de-telecomuncaciones-ID-164045",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Oficial de Montaje Electromecánico","www.buscojobs.com.uy/oficial-de-montaje-electromecanico-ID-164044",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Ayudante de Ingeniero Eléctrico","www.buscojobs.com.uy/ayudante-de-ingeniero-electrico-ID-164043",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Supervisor de obras de Telecomunicaciones","www.buscojobs.com.uy/supervisor-de-obras-de-telecomunicaciones-ID-164041",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Head Tax","www.buscojobs.com.uy/head-tax-ID-164046",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Telemarketer - Ventas telefónicas","www.buscojobs.com.uy/telemarketer-ventas-telefonicas-ID-164029",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Analista de Cuentas a Pagar","www.buscojobs.com.uy/analista-de-cuentas-a-pagar-ID-164040",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"VENDEDOR TELEFÒNICO","www.buscojobs.com.uy/vendedor-telefonico-ID-164039",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Técnico de Automatización","www.buscojobs.com.uy/tecnico-de-automatizacion-ID-164036",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Desarrollador .NET","www.buscojobs.com.uy/desarrollador-net-ID-164034",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Desarrollador de SW Semi Senior","www.buscojobs.com.uy/desarrollador-de-sw-semi-senior-ID-164032",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Técnico para Servicio Técnico","www.buscojobs.com.uy/tecnico-para-servicio-tecnico-ID-164030",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Aux. Administrativo/a Filial Maldonado","www.buscojobs.com.uy/aux-administrativoa-filial-maldonado-ID-164028",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Contributor Technical Support","www.buscojobs.com.uy/contributor-technical-support-ID-164026",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Auxiliar de depósito y Almacén","www.buscojobs.com.uy/auxiliar-de-deposito-y-almacen-ID-164024",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Limpiadores con experiencia","www.buscojobs.com.uy/limpiadores-con-experiencia-ID-164023",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"ADMINISTRATIVO/A","www.buscojobs.com.uy/administrativoa-ID-163938",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"DIRECTOR/A para Colegio Salesiano","www.buscojobs.com.uy/directora-para-colegio-salesiano-ID-163995",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Asistente Comercial","www.buscojobs.com.uy/asistente-comercial-ID-164002",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Auxiliar de Limpieza - Planta Industrial","www.buscojobs.com.uy/auxiliar-de-limpieza-planta-industrial-ID-164001",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"UX/UI Designer Senior","www.buscojobs.com.uy/uxui-designer-senior-ID-163992",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Operador contact center","www.buscojobs.com.uy/operador-contact-center-ID-163987",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Encargado/ para Local Comercial de Indumentaria.","www.buscojobs.com.uy/encargado-para-local-comercial-de-indumentaria-ID-163998",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Encargado de montaje - Para empresa de equipamiento de comercios","www.buscojobs.com.uy/encargado-de-montaje-para-empresa-de-equipamiento-de-comercios-ID-163993",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Encargada/o de Tienda en COLONIA","www.buscojobs.com.uy/encargadao-de-tienda-en-colonia-ID-163994",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Llamado para personas con discapacidad","www.buscojobs.com.uy/llamado-para-personas-con-discapacidad-ID-163991",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Sales Support Representative","www.buscojobs.com.uy/sales-support-representative-ID-163989",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"VENDEDOR DE PLAZA","www.buscojobs.com.uy/vendedor-de-plaza-ID-163985",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Jefe de RRHH","www.buscojobs.com.uy/jefe-de-rrhh-ID-163982",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Contributor Product Specialist","www.buscojobs.com.uy/contributor-product-specialist-ID-163983",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"People Care Specialist","www.buscojobs.com.uy/people-care-specialist-ID-163981",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Analista de Compras Fresh","www.buscojobs.com.uy/analista-de-compras-fresh-ID-163980",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Auxiliar de Calidad e Inocuidad","www.buscojobs.com.uy/auxiliar-de-calidad-e-inocuidad-ID-163978",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Administrativo con experiencia","www.buscojobs.com.uy/administrativo-con-experiencia-ID-164747",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,"miércoles"
"Auxiliar Administrativo Contable","www.buscojobs.com.uy/auxiliar-administrativo-contable-ID-164702",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Repositor / Merchandiser","www.buscojobs.com.uy/repositor-merchandiser-ID-164695",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Recepcionista","www.buscojobs.com.uy/recepcionista-ID-164658",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-21,"lunes"
"Personal para Ventas y Asesoramiento Técnico","www.buscojobs.com.uy/personal-para-ventas-y-asesoramiento-tecnico-ID-164650",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-21,"lunes"
"Ingenier@ civil/ Arquitect@","www.buscojobs.com.uy/ingenier-civil-arquitect-ID-164610",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-18,"viernes"
"ASESORES, AGENTES INMOB. Y PROFESIONALES CON EXPERIENCIA EN VTAS.","www.buscojobs.com.uy/asesores-agentes-inmob-y-profesionales-con-experiencia-en-vtas-ID-164604",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-18,"viernes"
"Maquinista Motoniveladora","www.buscojobs.com.uy/maquinista-motoniveladora-ID-164582",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Vendedor","www.buscojobs.com.uy/vendedor-ID-164580",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Auxiliar administrativa contable","www.buscojobs.com.uy/auxiliar-administrativa-contable-ID-164571",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Auxiliar contable","www.buscojobs.com.uy/auxiliar-contable-ID-164573",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Electricista Titulado","www.buscojobs.com.uy/electricista-titulado-ID-164719",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,"miércoles"
"Coordinador Tecnico","www.buscojobs.com.uy/coordinador-tecnico-ID-164728",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,"miércoles"
"Docente","www.buscojobs.com.uy/docente-ID-164675",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Becas Para Trabajo Encuestador-Digitador","www.buscojobs.com.uy/becas-para-trabajo-encuestador-digitador-ID-164676",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Becas Apoyo A Investigacion, Extensión","www.buscojobs.com.uy/becas-apoyo-a-investigacion-extension-ID-164677",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Asistencia A Coordinación De La Uae","www.buscojobs.com.uy/asistencia-a-coordinacion-de-la-uae-ID-164678",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Apoyo Enseñanza De Grado Lic Sociologi","www.buscojobs.com.uy/apoyo-ensenanza-de-grado-lic-sociologi-ID-164679",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Doc Fmteorico-Mét En T Social","www.buscojobs.com.uy/doc-fmteorico-met-en-t-social-ID-164680",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Coordinador De La Lic En Sociología,Gº3","www.buscojobs.com.uy/coordinador-de-la-lic-en-sociologiag3-ID-164681",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Doc Gº 2 Para Dep T Social Fcs","www.buscojobs.com.uy/doc-g-2-para-dep-t-social-fcs-ID-164682",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Apoyo En Diversas Tareas A La Uae","www.buscojobs.com.uy/apoyo-en-diversas-tareas-a-la-uae-ID-164683",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Ayudante Resp Sala Informática Fcs","www.buscojobs.com.uy/ayudante-resp-sala-informatica-fcs-ID-164684",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Coordinador De Procesos Y Sostenibilidad","www.buscojobs.com.uy/coordinador-de-procesos-y-sostenibilidad-ID-164685",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22,"martes"
"Desarrollador Junior Net","www.buscojobs.com.uy/desarrollador-junior-net-ID-164624",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-21,"lunes"
"Cocinero-Despensero Suplente","www.buscojobs.com.uy/cocinero-despensero-suplente-ID-164625",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-21,"lunes"
"Ayudante","www.buscojobs.com.uy/ayudante-ID-164626",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-21,"lunes"
"Administrador It Senior","www.buscojobs.com.uy/administrador-it-senior-ID-164627",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-21,"lunes"
"Consultor Contador Público Comap - Ministerio De Economía Y Finanzas","www.buscojobs.com.uy/consultor-contador-publico-comap-ministerio-de-economia-y-finanzas-ID-164621",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-19,"sábado"
"Lic En Comunicación","www.buscojobs.com.uy/lic-en-comunicacion-ID-164588",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-18,"viernes"
"Policía Administrativo - Ministerio Del Interior","www.buscojobs.com.uy/policia-administrativo-ministerio-del-interior-ID-164552",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Ecnomista","www.buscojobs.com.uy/ecnomista-ID-164553",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Consultor Junior En Presupuesto Nacional","www.buscojobs.com.uy/consultor-junior-en-presupuesto-nacional-ID-164554",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Especialista En Red De Monitoreo - Instituto Uruguayo De Meteorología","www.buscojobs.com.uy/especialista-en-red-de-monitoreo-instituto-uruguayo-de-meteorologia-ID-164460",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Provisión Por Contrato","www.buscojobs.com.uy/provision-por-contrato-ID-164461",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Desarrollador - Instituto Uruguayo De Meteorología","www.buscojobs.com.uy/desarrollador-instituto-uruguayo-de-meteorologia-ID-164462",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Provisión Por Contrato","www.buscojobs.com.uy/provision-por-contrato-ID-164463",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Esp En Red De Estaciones Meteorológicas - Instituto Uruguayo De Meteorología","www.buscojobs.com.uy/esp-en-red-de-estaciones-meteorologicas-instituto-uruguayo-de-meteorologia-ID-164464",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Provisión Por Contrato","www.buscojobs.com.uy/provision-por-contrato-ID-164465",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Administrador De Redes - Instituto Uruguayo De Meteorología","www.buscojobs.com.uy/administrador-de-redes-instituto-uruguayo-de-meteorologia-ID-164466",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Provisión Por Contrato","www.buscojobs.com.uy/provision-por-contrato-ID-164467",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Observadores Meteorológicos - Instituto Uruguayo De Meteorología","www.buscojobs.com.uy/observadores-meteorologicos-instituto-uruguayo-de-meteorologia-ID-164468",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Predictor Meteorológico - Instituto Uruguayo De Meteorología","www.buscojobs.com.uy/predictor-meteorologico-instituto-uruguayo-de-meteorologia-ID-164469",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Pasantía Zoológico Parque Lecocq","www.buscojobs.com.uy/pasantia-zoologico-parque-lecocq-ID-164415",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-14,"lunes"
"Cocinero","www.buscojobs.com.uy/cocinero-ID-164402",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Primer Oficial De Cubierta","www.buscojobs.com.uy/primer-oficial-de-cubierta-ID-164403",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Primer Oficial De Máquinas","www.buscojobs.com.uy/primer-oficial-de-maquinas-ID-164404",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Supervisor Ejecutivo","www.buscojobs.com.uy/supervisor-ejecutivo-ID-164405",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Segundo Oficial De Máquinas","www.buscojobs.com.uy/segundo-oficial-de-maquinas-ID-164406",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Segundo Oficial De Cubierta","www.buscojobs.com.uy/segundo-oficial-de-cubierta-ID-164407",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Marinero De Cubierta","www.buscojobs.com.uy/marinero-de-cubierta-ID-164408",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Primer Bombero","www.buscojobs.com.uy/primer-bombero-ID-164409",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Marinero De Máquinas","www.buscojobs.com.uy/marinero-de-maquinas-ID-164410",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Estudiantes De Ingeniería-Informática","www.buscojobs.com.uy/estudiantes-de-ingenieria-informatica-ID-164411",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Estudiante Av Ingeniería Hidráulica - Ministerio De Vivienda, Ordenamiento Territorial Y Medio Amb","www.buscojobs.com.uy/estudiante-av-ingenieria-hidraulica-ministerio-de-vivienda-ordenamiento-territorial-y-medio-amb-ID-164412",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Ingeniero/A Civil Hidráulico Ambiental - Ministerio De Vivienda, Ordenamiento Territorial Y Medio Amb","www.buscojobs.com.uy/ingenieroa-civil-hidraulico-ambiental-ministerio-de-vivienda-ordenamiento-territorial-y-medio-amb-ID-164413",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-13,"domingo"
"Coordinador Nacional Del Proyecto","www.buscojobs.com.uy/coordinador-nacional-del-proyecto-ID-164398",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-12,"sábado"
"Consultor/A - Ministerio De Ganadería, Agricultura Y Pesca","www.buscojobs.com.uy/consultora-ministerio-de-ganaderia-agricultura-y-pesca-ID-164399",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-12,"sábado"
"Consultor/A - Ministerio De Ganadería, Agricultura Y Pesca","www.buscojobs.com.uy/consultora-ministerio-de-ganaderia-agricultura-y-pesca-ID-164400",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-12,"sábado"
"Director/A De Obra","www.buscojobs.com.uy/directora-de-obra-ID-164363",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-11,"viernes"
"Profesor Agregado","www.buscojobs.com.uy/profesor-agregado-ID-164364",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-11,"viernes"
"Ayudante - Esc G - G° 1 - 20 Hs-Cenur","www.buscojobs.com.uy/ayudante-esc-g-g-1-20-hs-cenur-ID-164370",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-11,"viernes"
"Provisión Efectiva","www.buscojobs.com.uy/provision-efectiva-ID-164297",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09,"miércoles"
"Provisión Interina","www.buscojobs.com.uy/provision-interina-ID-164298",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09,"miércoles"
"Internacional De Posgrado En Educación","www.buscojobs.com.uy/internacional-de-posgrado-en-educacion-ID-164299",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09,"miércoles"
"Provisión Efectiva","www.buscojobs.com.uy/provision-efectiva-ID-164300",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09,"miércoles"
"Provisión Efectiva","www.buscojobs.com.uy/provision-efectiva-ID-164301",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09,"miércoles"
"Desarrollador,Bigdata Y Calidad De Datos","www.buscojobs.com.uy/desarrolladorbigdata-y-calidad-de-datos-ID-164302",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09,"miércoles"
"Asistente Gº2 Efectivo - Comedu Y Com","www.buscojobs.com.uy/asistente-g2-efectivo-comedu-y-com-ID-164207",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-07,"lunes"
"Provisión Efectiva","www.buscojobs.com.uy/provision-efectiva-ID-164169",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-04,"viernes"
"Ayudante Física General","www.buscojobs.com.uy/ayudante-fisica-general-ID-164170",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-04,"viernes"
"Provisión Interina","www.buscojobs.com.uy/provision-interina-ID-164171",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-04,"viernes"
"Ayudante Bioquímica","www.buscojobs.com.uy/ayudante-bioquimica-ID-164172",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-04,"viernes"
"Ayudante Convenio Mvotma","www.buscojobs.com.uy/ayudante-convenio-mvotma-ID-164173",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-04,"viernes"
"Provisión Interina","www.buscojobs.com.uy/provision-interina-ID-164174",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-04,"viernes"
"Provisión Interina","www.buscojobs.com.uy/provision-interina-ID-164175",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-04,"viernes"
"Ayudante Convenio Mvotma","www.buscojobs.com.uy/ayudante-convenio-mvotma-ID-164176",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-04,"viernes"
