"puesto","Empresa","Departamento","Ciudad","fecha","fecha_scraping"
"PARRILLERO p/PIRIAPOLIS","RecursosHumanosHotelería","Maldonado","Piriapolis","Ayer, 07:08 p. m.",2018-11-24 03:00:55
"Encargado de Tienda","HRGlow","Canelones","LasPiedras","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Vendendor para shopping","Aglh","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Vendedor/a de salón  - Zafral para Costa Urbana ","SanRoqueSA","Canelones","Lagomar","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Vendedores Shopping  - Punta Del Este","Cuatroases","Maldonado","PuntaDelEste","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Jefe de Administración y Finanzas - Jefe de Administración y Finanzas","ConsultoresAUREN","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Merchandiser / Reponedor - ROCHA / Temporada","Advice","Rocha","Rocha","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Estudiantes con Bachillerato Completo - para Ente Público","Coneban","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Asistente Administrativo  - Masculino ","KILOWATT","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Cajero reponedor  - Suplencia para Shopping Portones ","SanRoqueSA","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Project Manager - Para proyecto de consultoría a término","MATRIZ","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Supervisor de desarrollo técnico comercial - para CONAPAC","Conaprole","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Idóneo en Farmacia - Con título de Idóneo en farmacia","SanRoqueSA","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Estudiantes de Ciencias Económicas o EDA - para Ente Público","Coneban","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Laboratorista - para CONAPAC","Conaprole","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"DBA Junior","PrometeoSoluciones","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Limpiador/a Áreas Públicas - Con Experiencia","DazzlerMontevideo","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"DIGITADORA MEMORY CONTABLE  - CON EXPERIENCIA, ESTUDIANTE DE CCEE","MONTEVIDEOCONSULTINGGROUP","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Vendedores Online","NaturalMP","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Agente de Campo para Castillos (Rocha) - Contrato a término","UHYGubba&Asociados","Rocha","Castillos","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Telefonista de Cabina  - Para Cubrir Guardias","EventualesConsultora","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Cajero reponedor  - Zona Aeropuerto ","SanRoqueSA","Montevideo","Montevideo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"Vendedores Online - En tu tiempo libre","NaturalMP","Lavalleja","SolisDeMataojo","Ayer, 06:41 p. m.",2018-11-24 03:00:55
"FIAMBRERA Y LIMPIADORA - CON EXPERIENCIA","MartinLtda","Montevideo","Montevideo","Ayer, 04:03 p. m.",2018-11-24 03:00:55
"Administrativa","FundacionManantiales","Montevideo","Montevideo","Ayer, 04:03 p. m.",2018-11-24 03:00:55
"Administrativa ",".MontevideoBeerCompanyLtda","Montevideo","Montevideo","Ayer, 04:03 p. m.",2018-11-24 03:00:55
"Vendedores telefonicos para Montevideo - Horario vespertino","Vigilia","Montevideo","Montevideo","Ayer, 04:03 p. m.",2018-11-24 03:00:55
"Docente de Idioma Español - con posgrado para preparar concursos","BienestarLaboralyCultural","Montevideo","Montevideo","Ayer, 03:20 p. m.",2018-11-24 03:00:55
"Vendedor/a Independiente - ventas masivas","DistribuidoraMaroñas","Montevideo","Montevideo","Ayer, 03:20 p. m.",2018-11-24 03:00:55
"Analista de Gestión Humana - Contrato a término","UHYGubba&Asociados","Montevideo","Montevideo","Ayer, 03:20 p. m.",2018-11-24 03:00:55
"Auxiliar de Depósito  - Jovenes en busqueda de su primera experiencia laboral ","ManpowerGroup","Montevideo","Montevideo","Ayer, 02:57 p. m.",2018-11-24 03:00:55
"Ayudante de cortador para Carnicería","ManpowerGroup","Montevideo","Montevideo","Ayer, 02:47 p. m.",2018-11-24 03:00:55
"Odontologo/a General  - EXPERIENCIA DE 3 AÑOS","SuarezUruguay","Montevideo","Montevideo","Ayer, 02:47 p. m.",2018-11-24 03:00:55
"Asistente Dental - CON EXPERIENCIA","SuarezUruguay","Montevideo","Montevideo","Ayer, 02:47 p. m.",2018-11-24 03:00:55
"Maquinista para área de producción ","Integrar","Montevideo","Montevideo","Ayer, 02:47 p. m.",2018-11-24 03:00:55
