"link","puesto","empresa","nivel","area","fecha","detalle","departamento","fecha_scraping","Responsabilidades","Funciones","Requisitos"
"https://trabajo.gallito.com.uy/anuncio/abogado-a-estudio-juridico-tpy8a","ABOGADO/A / ESTUDIO JURÍDICO","","Profesional","Legal","Hace 6 días "," ABOGADO/A / ESTUDIO JURÍDICO

Management Fiduciario y Profesional SA en su calidad de Fiduciario selecciona Abogado/a o Estudio Jurídico para asesoramient ...","montevideo",2019-10-17 16:10:35,"
            ABOGADO/A / ESTUDIO JURÍDICO
Management Fiduciario y Profesional SA en su calidad de Fiduciario selecciona Abogado/a o Estudio Jurídico para asesoramiento en materia de administración de Patrimonio Fideicomitido. Se valorará experiencia en materia contractual, civil, comercial, y litigiosos. ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/account-manager-dudp9","ACCOUNT MANAGER","CONVIXION","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","¿Te gusta vender?
¿Te desafía fidelizar a tus clientes y generar nuevos?
¡Te proponemos sumarte a nuestro equipo de ventas para que puedas hacerlo!
Si cont ...","montevideo",2019-10-17 16:10:35,"
            Es requisito excluyente contar con vehículo. 
Contar con disponibilidad para viajar al interior y posibilidad de residir en el lugar durante un tiempo.         ","
            ¿Te gusta vender?
¿Te desafía fidelizar a tus clientes y generar nuevos?
¡Te proponemos sumarte a nuestro equipo de ventas para que puedas hacerlo!
Si contás con formación terciaría en carreras tales como Ingeniería civil, industrial  y tenés experiencia en venta técnica o consultiva en la industria de la construcción.
¡No dejes pasar esta oportunidad!        ","
                                Experiencia de 2 años en el área de Construcción - arquitectura."
"https://trabajo.gallito.com.uy/anuncio/acompanante-6an39","ACOMPAÑANTE","","Auxiliar","Servicios - Oficios","Hace 3 semanas ","  Señora con cama 45 a 60 años. Para persona mayor autoválida, tareas sencillas de la casa. Referencias","montevideo",2019-10-17 16:10:35,"
             Señora con cama 45 a 60 años. Para persona mayor autoválida, tareas sencillas de la casa. Referencias        ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/acompanante-a-domicilio-j6mnu","ACOMPAÑANTE A DOMICILIO","Cuidados a Domicilio","Auxiliar","Salud","Hace 1 semana ","Cuidado de pacientes en cama, cambio de pañales, baños en cama, entre otras tareas afines. Será responsable por el cuidado integral del paciente en el hora ...","montevideo",2019-10-17 16:10:35,"
            Será responsable por el cuidado integral del paciente en el horario designado.        ","
            Cuidado de pacientes en cama, cambio de pañales, baños en cama, entre otras tareas afines.        ","
                                Experiencia de 3 meses en el área de Salud."
"https://trabajo.gallito.com.uy/anuncio/acompanante-m58ua","ACOMPAÑANTE","","Auxiliar","Salud","Hace 4 semanas "," Busco señora mayor con cama

Preferentemente jubilada para tareas y companía de sñora  autovalida","montevideo",2019-10-17 16:10:35,"
            Busco señora mayor con cama
Preferentemente jubilada para tareas y companía de sñora  autovalida        ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/acompanantes-para-cerro-largo-melo-233z9","ACOMPAÑANTES PARA CERRO LARGO (MELO)","Importante empresa","Auxiliar","Salud","Hace 2 semanas ","Requisitos:
o	Ciclo básico con tercer año aprobado
o	Experiencia en cuidados.
o	Se valorará título en Aux de enfermería Nuestra propuesta:
La mejor remuner ...","montevideo",2019-10-17 16:10:35,"
            Nuestra propuesta:
La mejor remuneración por hora.
Premios mensuales y anuales.
Capacitación de ingreso y profesional.
Apoyo continuo y personalizado en los servicios.
Comunicación permanente y personalizada        ","
            Requisitos:
o	Ciclo básico con tercer año aprobado
o	Experiencia en cuidados.
o	Se valorará título en Aux de enfermería        ",NA
"https://trabajo.gallito.com.uy/anuncio/adaptacion-sistema-de-gestion-php-p2qhd","ADAPTACIÓN SISTEMA DE GESTIÓN PHP","PuntoCom Servicios Tecnológicos","Analista","Tecnologías de la información","Hace 3 semanas ","Conectar con webservices de factura electrónica un sistema en PHP. a convenir.","interior",2019-10-17 16:10:35,"
            a convenir.        ","
            Conectar con webservices de factura electrónica un sistema en PHP.        ","
                Formación profesional básica en computación e informática.                                Manejo de programas:Php a intermedio."
"https://trabajo.gallito.com.uy/anuncio/administracion-y-atencion-al-cliente-qr968","ADMINISTRACION Y ATENCION AL CLIENTE.","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 semana ","LLEVAR ADELANTE EL AREA ADMINISTRATIVA HACIENDO LA FACTURACION, PAGOS A PROVEEDORES, ORDEN DE PORFOLIOS Y EL MANEJO DE MOVIMIENTOS BANCARIOS.
ATENCION AL C ...","montevideo",2019-10-17 16:10:35,"
            JORNADA DE 8 HORAS, DE LUNES A VIERNES.        ","
            LLEVAR ADELANTE EL AREA ADMINISTRATIVA HACIENDO LA FACTURACION, PAGOS A PROVEEDORES, ORDEN DE PORFOLIOS Y EL MANEJO DE MOVIMIENTOS BANCARIOS.
ATENCION AL CLIENTE, SACARLE SUS DUDAS Y GUIARLO CON NUESTROS PRODUCTOS.
FUNDAMENTAL QUE LA PERSONA TENGA GANAS DE TRABAJAR Y DE APRENDER.        ",NA
"https://trabajo.gallito.com.uy/anuncio/administrador-de-base-de-datos-2h5yz","ADMINISTRADOR DE BASE DE DATOS. PERFIL INFORMÁTICO","GEOCOM URUGUAY","Supervisor / Encargado","Tecnologías de la información","Hace 1 mes ","Nos encontramos en la búsqueda de un Administrador de Base de Datos Senior.

Requisitos:

- Mínimo 3 años de experiencia en cargo similares

- Instalación, ...","montevideo",2019-10-17 16:10:35,"
            Qué proponemos?
- El desafío de participar en proyectos (nacionales e internacionales) de alto impacto
- Estabilidad y excelente ambiente laboral
- Estacionamiento Vigilado
- Cancha de fútbol y zona deportiva
- Acuerdos con universidades para carreras de grado y posgrado
Acerca de nosotros:
GEOCOM es una empresa con más de 20 años en el mercado, dedicada a brindar servicios informáticos globales. Nos desarrollamos en diferentes sectores: Gobierno, Finanzas, Industria, Salud, Retail. A sus más de 300 colaboradores en Uruguay, se le suman sus oficinas en Argentina, Chile y Colombia.
Estamos certificados en ISO y evaluado en CMMI nivel 3.
-Por favor adjuntar CV con aspiraciones salariales.-        ","
            Nos encontramos en la búsqueda de un Administrador de Base de Datos Senior.
Requisitos:
- Mínimo 3 años de experiencia en cargo similares
- Instalación, actualización, tuning, soporte, programación SQL en las siguientes tecnologías (MySQL/MariaDB, Oracle, MongoDB (no excluyente))
- Será excluyente la experiencia implementando soluciones de alta disponibilidad en las tecnologías mencionadas
- Se valorará experiencia previa brindando soporte de base de datos en soluciones implementadas en GeneXus e Hibernate, así como herramientas de monitoreo de las distintas tecnologías (Grafana, Nagios, Monyog, etc.)
HORARIO: Lunes a Jueves de 9 a 18 - Viernes de 9 a 17
El presente llamado incluye el ingreso de personas en situación de discapacidad de acuerdo a la ley N° 19.691        ","
                                                Manejo de programas:Sql a avanzado.Manejo de programas:Oracle a avanzado."
"https://trabajo.gallito.com.uy/anuncio/administrador-de-sistemas-359vm","ADMINISTRADOR DE SISTEMAS","","Técnico / Especialista","Tecnologías de la información","Hace 1 mes ","Seleccionamos para incorporarse a nuestro equipo de trabajo: Administrador de Sistemas.

La búsqueda se orienta a jóvenes estudiantes o egresados de las ca ...","montevideo",2019-10-17 16:10:35,"
            Requisitos: 
-	Conocimiento Firewall Fortinet
-	Virtualización de data center con vmware
-       Windows Server / Exchange / AD
-       Servidores Web IIS / Tomcat / File server / Wsus 
-	SQL Server (2005,2008,2012) y Oracle (10g) DBA
-	Administración de Router, Switch, VLAN, MPLS
-	Experiencia en retail (conectividad casa central y sucursales)        ","
            Seleccionamos para incorporarse a nuestro equipo de trabajo: Administrador de Sistemas.
La búsqueda se orienta a jóvenes estudiantes o egresados de las carreras de Licenciatura en Sistemas, Ingeniería en Computación y/o Técnico en Redes y Sistemas Operativos.        ","
                                Experiencia de 1 año en el área de Tecnologías de la información.Experiencia de 2 años en el área de Tecnologías de la información.                Manejo de programas:Apache a basico.Manejo de programas:Exchange a intermedio.Manejo de programas:Sql server a intermedio.Manejo de programas:Oracle a basico.                Idioma Inglés a intermedio."
"https://trabajo.gallito.com.uy/anuncio/administrativa-72pyt","ADMINISTRATIVA","","Auxiliar","Administración - Secretariado","Hace 1 semana "," Telefonista hasta 35 años.

8 horas, proactiva, buena presencia, tareas varias. Indicar referencia 004","montevideo",2019-10-17 16:10:35,"
            Telefonista hasta 35 años.
8 horas, proactiva, buena presencia, tareas varias. Indicar referencia 004        ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/administrativa-9b5hg","ADMINISTRATIVA","","Auxiliar","Administración - Secretariado","Hace 2 semanas "," ADMINISTRATIVA para Super y Mayorista en Barrio Piedras Blancas. Horario de lunes viernes de 8.30 a 17.30 hs. Sueldo nominal $ 25.500. Preferente

mente c ...","montevideo",2019-10-17 16:10:35,"
            ADMINISTRATIVA para Super y Mayorista en Barrio Piedras Blancas. Horario de lunes viernes de 8.30 a 17.30 hs. Sueldo nominal $ 25.500. Preferente
mente con curso aprobado de INEFOP.        ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/administrativa-hvu39","ADMINISTRATIVA","","Auxiliar","Administración - Secretariado","Hace 3 semanas "," Con experiencia, con conociminetos en administración contable y capacitación en programas y sistemas.","montevideo",2019-10-17 16:10:35,"
            Con experiencia, con conociminetos en administración contable y capacitación en programas y sistemas.        ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/administrativa-m4h34","ADMINISTRATIVA","","Auxiliar","Administración - Secretariado","Hace 1 semana "," ADMINITRATIVA lun a vier 14 a 18 hrs excluyente excel avanzado viva cerca Malvin $12.000 nominales","montevideo",2019-10-17 16:10:35,"
            ADMINITRATIVA lun a vier 14 a 18 hrs excluyente excel avanzado viva cerca Malvin $12.000 nominales        ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/administrativa-para-liquidacion-de-sueldo-rbt4z","ADMINISTRATIVA PARA LIQUIDACIÓN DE SUELDO","Importante empresa","Asistente","Finanzas - Contabilidad - Auditoria","Hace 1 día ","ADMINISTRATIVA PARA LIQUIDACIÓN DE SUELDOS en estudio contable, entre sus tareas además se encuentra confección de formularios para organismo públicos, trá ...","montevideo",2019-10-17 16:10:35,"
            Liquidación de sueldos
Declaración Fonasa
Formularios BPS
Registros contables
Tramites a organismo públicos        ","
            ADMINISTRATIVA PARA LIQUIDACIÓN DE SUELDOS en estudio contable, entre sus tareas además se encuentra confección de formularios para organismo públicos, trámites y registros contables, buen ambiente laboral de L a V de 9 a 18 hs. Se pide experiencia 1 a 2 años en tareas similares en estudio contable, formación contable (EDA, Bios o similar), se valorará conocimientos en GNS Por favor enviar CV con referencias y aspiraciones salarial        ",NA
"https://trabajo.gallito.com.uy/anuncio/administrativa-tutrd","ADMINISTRATIVA","","Auxiliar","Administración - Secretariado","Hace 1 semana "," ADMINISTRTIVA PART time,  con manejo de office, internet y buena precencia","montevideo",2019-10-17 16:10:35,"
            ADMINISTRTIVA PART time,  con manejo de office, internet y buena precencia        ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/administrativo-83s9j","ADMINISTRATIVO","LESDINS S.R.L","Auxiliar","Administración - Secretariado","Hace 1 semana ","Facturación, pago a proveedores, atención al cliente y organización de tareas diarias que hacen al funcionamiento de la empresa Responsable del área admini ...","montevideo",2019-10-17 16:10:35,"
            Responsable del área administrativa, pago y atención a proveedores. Contacto directo con clientes y funcionarios        ","
            Facturación, pago a proveedores, atención al cliente y organización de tareas diarias que hacen al funcionamiento de la empresa        ","
                                                Manejo de programas:Excel a intermedio."
"https://trabajo.gallito.com.uy/anuncio/administrativo-a-38jan","ADMINISTRATIVO/A","","Auxiliar","Administración - Secretariado","Hace 1 semana "," Con experiencia en facturación, sistema scantech y 

conocimientos en Word, excel etc.

","montevideo",2019-10-17 16:10:35,"
            Con experiencia en facturación, sistema scantech y 
conocimientos en Word, excel etc.","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/administrativo-a-7h25j","ADMINISTRATIVO/A","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","ADMINISTRATIVO: Taller CHAPA y PINTURA AUTOMOTRIZ Atención al público y trámites con aseguradoras.","montevideo",2019-10-17 16:10:35,"
            Atención al público y trámites con aseguradoras.        ","
            ADMINISTRATIVO: Taller CHAPA y PINTURA AUTOMOTRIZ        ","
                                Experiencia de 2 años en el área de Administración - secretariado."
"https://trabajo.gallito.com.uy/anuncio/administrativo-a-reqmd","ADMINISTRATIVO /A","","Auxiliar","Administración - Secretariado","Hace 2 semanas "," ADMINISTRATIVO/ A con conocimientos de Memory y deudores.","montevideo",2019-10-17 16:10:35,"
            ADMINISTRATIVO/ A con conocimientos de Memory y deudores.        ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/administrativo-atencion-al-cliente-gpysg","ADMINISTRATIVO ATENCIÓN AL CLIENTE","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","Formación: 
•	Secundaria completa. 
•	Manejo de herramientas informáticas y programas Office a nivel intermedio. 
•	Capacitación y/o experiencia en atenció ...","montevideo",2019-10-17 16:10:35,"
            Selección de cargo  administrativo para el Dpto. Atención al Cliente.
Disponibilidad horaria de lunes a viernes de 09:00 a 18:00 horas
Aptitudes y habilidades: 
•	Dinamismo 
•	Proactividad
•	Compromiso
•	Capacidad para trabajo en equipo","
            Formación: 
•	Secundaria completa. 
•	Manejo de herramientas informáticas y programas Office a nivel intermedio. 
•	Capacitación y/o experiencia en atención al público 
Algunas de las funciones inherentes al cargo son:
•	Atención personal y telefónica de los socios y no socios.
•	Comunicación con los socios en tareas de fidelización.
•	Actualización de datos del socio.
•	Tareas administrativas correspondientes al área
Sé parte de nuestro equipo!        ","
                Bachillerato secundaria en administración.                Experiencia de 1 año en el área de Administración - secretariado.                Manejo de programas:Office a intermedio."
"https://trabajo.gallito.com.uy/anuncio/administrativo-bm99t","ADMINISTRATIVO","","Auxiliar","Administración - Secretariado","Hace 3 semanas "," ADMINISTRATIVO para zona La Paz Las Piedras tareas de oficina. De lunes a viernes. Con referencias comprobables. Postularse en Gallito.com","montevideo",2019-10-17 16:10:35,"
            ADMINISTRATIVO para zona La Paz Las Piedras tareas de oficina. De lunes a viernes. Con referencias comprobables. Postularse en Gallito.com        ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/administrativo-buzv7","ADMINISTRATIVO","","Auxiliar","Administración - Secretariado","Hace 2 semanas "," requisitos 3 referencias laborales comprobables (ex

cluyente) persona dinamica proactiv

a comprometida atencion al publico

 full time de lunes a vierne ...","montevideo",2019-10-17 16:10:35,"
            requisitos 3 referencias laborales comprobables (ex
cluyente) persona dinamica proactiv
a comprometida atencion al publico
 full time de lunes a viernes conocim
ientos basicos en computacion excluyente        ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/administrativo-contable-45e9y","ADMINISTRATIVO CONTABLE","Empresa","Asistente","Finanzas - Contabilidad - Auditoria","Hace 1 semana ","Empresa busca administrativa para tareas tales como facturación, ingreso de datos, conciliaciones bancarias, pago a proveedores.
Preferentemente que tenga  ...","montevideo",2019-10-17 16:10:35,"
            .        ","
            Empresa busca administrativa para tareas tales como facturación, ingreso de datos, conciliaciones bancarias, pago a proveedores.
Preferentemente que tenga conocimientos sobre el programa Zureo (NO excluyente).        ","
                Bachillerato tecnológico utu en contabilidad.Terciario no universitario en contabilidad.Universitario en contabilidad.                Experiencia de 2 años en el área de Administración - secretariado.                Manejo de programas:Office a basico."
